date,year,month,day,precipitation_mm,temp_c,humidity_pct
2020-01-01,2020,01,01,50.82,26.75,88.26
2020-01-02,2020,01,02,6.77,27.38,83.98
2020-01-03,2020,01,03,51.2,27.25,86.89
2020-01-04,2020,01,04,9.0,27.21,87.43
2020-01-05,2020,01,05,10.65,27.1,88.41
2020-01-06,2020,01,06,7.2,27.54,85.07
2020-01-07,2020,01,07,6.43,27.58,84.59
2020-01-08,2020,01,08,15.14,27.37,86.47
2020-01-09,2020,01,09,18.98,26.82,87.1
2020-01-10,2020,01,10,9.24,26.57,84.0
2020-01-11,2020,01,11,9.86,26.74,84.83
2020-01-12,2020,01,12,1.96,27.79,80.67
2020-01-13,2020,01,13,8.7,27.55,83.59
2020-01-14,2020,01,14,9.95,27.29,84.41
2020-01-15,2020,01,15,14.25,26.91,82.67
2020-01-16,2020,01,16,3.63,27.69,82.04
2020-01-17,2020,01,17,7.47,28.16,81.75
2020-01-18,2020,01,18,6.83,27.63,83.59
2020-01-19,2020,01,19,1.17,28.16,79.48
2020-01-20,2020,01,20,2.89,27.95,82.93
2020-01-21,2020,01,21,2.68,27.71,85.35
2020-01-22,2020,01,22,7.12,28.02,81.97
2020-01-23,2020,01,23,11.8,28.04,81.18
2020-01-24,2020,01,24,20.68,27.83,84.11
2020-01-25,2020,01,25,32.45,27.0,89.31
2020-01-26,2020,01,26,7.08,27.26,87.88
2020-01-27,2020,01,27,6.32,27.89,81.06
2020-01-28,2020,01,28,4.71,27.95,82.9
2020-01-29,2020,01,29,9.22,28.12,82.22
2020-01-30,2020,01,30,18.14,27.38,86.64
2020-01-31,2020,01,31,14.2,27.6,85.92
2020-02-01,2020,02,01,24.45,27.32,88.58
2020-02-02,2020,02,02,7.51,27.36,85.13
2020-02-03,2020,02,03,18.46,27.13,87.19
2020-02-04,2020,02,04,14.43,26.95,86.13
2020-02-05,2020,02,05,20.04,27.31,84.87
2020-02-06,2020,02,06,31.15,27.05,87.37
2020-02-07,2020,02,07,17.2,26.9,87.84
2020-02-08,2020,02,08,44.46,26.77,84.98
2020-02-09,2020,02,09,7.29,27.37,81.75
2020-02-10,2020,02,10,3.35,27.83,82.25
2020-02-11,2020,02,11,1.86,27.92,80.82
2020-02-12,2020,02,12,2.28,27.96,80.93
2020-02-13,2020,02,13,3.83,28.06,82.58
2020-02-14,2020,02,14,2.65,27.38,85.46
2020-02-15,2020,02,15,10.11,28.05,81.85
2020-02-16,2020,02,16,44.54,27.37,87.04
2020-02-17,2020,02,17,37.87,26.97,85.09
2020-02-18,2020,02,18,17.45,26.85,87.05
2020-02-19,2020,02,19,26.06,26.6,89.08
2020-02-20,2020,02,20,30.66,27.29,87.12
2020-02-21,2020,02,21,26.91,27.5,86.63
2020-02-22,2020,02,22,18.52,27.57,86.77
2020-02-23,2020,02,23,24.65,27.61,87.5
2020-02-24,2020,02,24,20.35,27.63,87.09
2020-02-25,2020,02,25,96.49,27.51,87.24
2020-02-26,2020,02,26,11.63,27.46,87.51
2020-02-27,2020,02,27,9.29,27.58,86.5
2020-02-28,2020,02,28,9.81,27.4,88.48
2020-02-29,2020,02,29,13.56,27.28,89.26
2020-03-01,2020,03,01,23.49,27.32,90.48
2020-03-02,2020,03,02,1.55,27.97,83.29
2020-03-03,2020,03,03,1.49,27.89,84.65
2020-03-04,2020,03,04,30.99,27.67,87.05
2020-03-05,2020,03,05,8.89,27.26,87.63
2020-03-06,2020,03,06,5.51,27.78,84.12
2020-03-07,2020,03,07,6.75,27.57,85.42
2020-03-08,2020,03,08,3.0,27.04,86.8
2020-03-09,2020,03,09,0.98,27.47,87.09
2020-03-10,2020,03,10,2.27,27.92,85.37
2020-03-11,2020,03,11,2.84,27.75,86.96
2020-03-12,2020,03,12,17.44,27.82,88.4
2020-03-13,2020,03,13,5.38,27.64,84.82
2020-03-14,2020,03,14,4.5,28.18,82.43
2020-03-15,2020,03,15,7.96,28.12,85.2
2020-03-16,2020,03,16,14.89,27.56,82.43
2020-03-17,2020,03,17,9.98,28.01,80.88
2020-03-18,2020,03,18,12.19,27.38,86.25
2020-03-19,2020,03,19,14.61,27.99,80.16
2020-03-20,2020,03,20,21.01,27.08,85.46
2020-03-21,2020,03,21,19.37,27.61,82.51
2020-03-22,2020,03,22,16.56,27.59,82.32
2020-03-23,2020,03,23,2.3,27.76,79.12
2020-03-24,2020,03,24,5.51,27.8,81.09
2020-03-25,2020,03,25,4.16,27.9,81.27
2020-03-26,2020,03,26,39.23,27.58,85.27
2020-03-27,2020,03,27,7.28,28.05,82.9
2020-03-28,2020,03,28,4.57,27.83,85.07
2020-03-29,2020,03,29,4.91,28.1,84.77
2020-03-30,2020,03,30,22.37,27.77,85.98
2020-03-31,2020,03,31,12.94,27.85,82.88
2020-04-01,2020,04,01,3.0,27.95,83.11
2020-04-02,2020,04,02,1.53,28.14,84.23
2020-04-03,2020,04,03,1.31,28.15,83.37
2020-04-04,2020,04,04,7.1,27.44,86.84
2020-04-05,2020,04,05,13.43,28.18,81.18
2020-04-06,2020,04,06,10.67,27.17,87.26
2020-04-07,2020,04,07,10.49,26.85,87.77
2020-04-08,2020,04,08,5.58,27.71,83.18
2020-04-09,2020,04,09,2.01,27.26,84.93
2020-04-10,2020,04,10,17.13,27.75,81.78
2020-04-11,2020,04,11,6.87,28.47,80.53
2020-04-12,2020,04,12,10.28,28.45,82.97
2020-04-13,2020,04,13,35.87,27.65,85.62
2020-04-14,2020,04,14,5.21,28.2,81.03
2020-04-15,2020,04,15,8.83,27.72,86.95
2020-04-16,2020,04,16,1.89,28.02,81.71
2020-04-17,2020,04,17,3.33,28.25,78.88
2020-04-18,2020,04,18,3.51,28.31,79.98
2020-04-19,2020,04,19,2.62,28.72,77.49
2020-04-20,2020,04,20,1.57,28.45,80.67
2020-04-21,2020,04,21,3.13,28.37,81.68
2020-04-22,2020,04,22,1.48,28.73,82.19
2020-04-23,2020,04,23,2.75,28.52,86.52
2020-04-24,2020,04,24,7.01,28.29,87.13
2020-04-25,2020,04,25,0.41,27.89,83.45
2020-04-26,2020,04,26,6.58,27.93,84.05
2020-04-27,2020,04,27,12.01,27.52,87.44
2020-04-28,2020,04,28,7.75,27.47,86.16
2020-04-29,2020,04,29,7.56,27.92,79.9
2020-04-30,2020,04,30,5.13,27.89,85.95
2020-05-01,2020,05,01,12.18,27.44,88.71
2020-05-02,2020,05,02,9.81,27.94,80.84
2020-05-03,2020,05,03,7.51,27.97,85.18
2020-05-04,2020,05,04,4.42,27.91,86.18
2020-05-05,2020,05,05,3.36,27.94,85.7
2020-05-06,2020,05,06,2.93,28.07,86.32
2020-05-07,2020,05,07,1.43,28.21,86.09
2020-05-08,2020,05,08,2.78,28.46,82.56
2020-05-09,2020,05,09,2.8,28.42,80.64
2020-05-10,2020,05,10,4.11,28.24,81.79
2020-05-11,2020,05,11,10.34,27.58,84.28
2020-05-12,2020,05,12,1.66,28.15,84.89
2020-05-13,2020,05,13,7.24,28.16,88.69
2020-05-14,2020,05,14,1.37,28.25,86.06
2020-05-15,2020,05,15,0.42,28.25,86.26
2020-05-16,2020,05,16,1.25,28.54,85.92
2020-05-17,2020,05,17,4.83,28.45,88.36
2020-05-18,2020,05,18,9.66,28.11,79.06
2020-05-19,2020,05,19,2.08,28.04,84.02
2020-05-20,2020,05,20,11.29,27.83,88.8
2020-05-21,2020,05,21,4.21,28.31,81.1
2020-05-22,2020,05,22,7.62,28.12,84.21
2020-05-23,2020,05,23,0.9,27.96,81.72
2020-05-24,2020,05,24,1.35,28.76,79.53
2020-05-25,2020,05,25,5.07,28.45,81.99
2020-05-26,2020,05,26,26.0,27.99,87.25
2020-05-27,2020,05,27,5.08,27.61,86.49
2020-05-28,2020,05,28,4.23,27.65,82.33
2020-05-29,2020,05,29,5.98,27.99,83.56
2020-05-30,2020,05,30,5.49,28.01,85.66
2020-05-31,2020,05,31,6.77,28.39,78.7
2020-06-01,2020,06,01,5.8,27.69,83.29
2020-06-02,2020,06,02,3.75,27.9,80.45
2020-06-03,2020,06,03,4.3,27.81,85.87
2020-06-04,2020,06,04,0.94,27.79,84.09
2020-06-05,2020,06,05,2.14,27.61,82.92
2020-06-06,2020,06,06,0.74,28.03,79.12
2020-06-07,2020,06,07,2.01,27.72,83.4
2020-06-08,2020,06,08,2.25,27.62,83.57
2020-06-09,2020,06,09,0.77,27.92,78.04
2020-06-10,2020,06,10,2.89,27.64,85.56
2020-06-11,2020,06,11,3.38,27.97,85.95
2020-06-12,2020,06,12,2.09,27.76,84.42
2020-06-13,2020,06,13,0.22,27.85,81.72
2020-06-14,2020,06,14,0.14,28.04,82.22
2020-06-15,2020,06,15,1.54,27.84,87.02
2020-06-16,2020,06,16,1.37,27.74,87.66
2020-06-17,2020,06,17,1.14,27.75,85.58
2020-06-18,2020,06,18,1.91,27.67,86.68
2020-06-19,2020,06,19,3.59,27.32,83.77
2020-06-20,2020,06,20,0.75,27.57,83.11
2020-06-21,2020,06,21,2.57,27.44,83.4
2020-06-22,2020,06,22,7.26,26.78,86.31
2020-06-23,2020,06,23,3.76,27.2,83.96
2020-06-24,2020,06,24,1.6,27.65,79.07
2020-06-25,2020,06,25,0.79,27.6,79.41
2020-06-26,2020,06,26,0.84,27.44,82.24
2020-06-27,2020,06,27,0.41,27.12,84.84
2020-06-28,2020,06,28,0.19,27.51,82.72
2020-06-29,2020,06,29,0.03,27.5,81.36
2020-06-30,2020,06,30,3.14,27.32,83.49
2020-07-01,2020,07,01,5.18,27.36,82.04
2020-07-02,2020,07,02,16.11,27.58,78.65
2020-07-03,2020,07,03,10.4,27.39,83.87
2020-07-04,2020,07,04,5.51,27.1,82.27
2020-07-05,2020,07,05,0.46,27.2,81.13
2020-07-06,2020,07,06,5.07,27.0,84.63
2020-07-07,2020,07,07,3.12,26.84,86.34
2020-07-08,2020,07,08,4.49,27.33,80.74
2020-07-09,2020,07,09,1.39,27.16,78.02
2020-07-10,2020,07,10,0.71,27.43,77.7
2020-07-11,2020,07,11,1.36,27.31,82.61
2020-07-12,2020,07,12,1.66,27.37,83.63
2020-07-13,2020,07,13,2.67,27.12,85.34
2020-07-14,2020,07,14,4.54,27.1,85.87
2020-07-15,2020,07,15,4.44,27.13,85.41
2020-07-16,2020,07,16,7.81,27.22,86.87
2020-07-17,2020,07,17,1.25,27.33,84.76
2020-07-18,2020,07,18,1.32,27.02,84.78
2020-07-19,2020,07,19,1.84,27.51,82.14
2020-07-20,2020,07,20,1.42,27.35,83.67
2020-07-21,2020,07,21,1.95,27.41,84.57
2020-07-22,2020,07,22,1.67,27.6,83.97
2020-07-23,2020,07,23,1.39,27.35,83.68
2020-07-24,2020,07,24,0.59,27.5,82.24
2020-07-25,2020,07,25,0.02,27.32,78.29
2020-07-26,2020,07,26,0.0,26.65,78.29
2020-07-27,2020,07,27,0.0,26.57,78.74
2020-07-28,2020,07,28,0.0,26.79,76.67
2020-07-29,2020,07,29,0.0,26.86,76.18
2020-07-30,2020,07,30,0.0,26.78,75.45
2020-07-31,2020,07,31,0.0,26.38,70.47
2020-08-01,2020,08,01,0.0,26.59,69.88
2020-08-02,2020,08,02,0.01,27.22,75.33
2020-08-03,2020,08,03,0.01,27.0,81.53
2020-08-04,2020,08,04,0.3,27.11,83.36
2020-08-05,2020,08,05,0.67,27.49,82.13
2020-08-06,2020,08,06,1.74,27.33,84.06
2020-08-07,2020,08,07,6.64,27.12,85.45
2020-08-08,2020,08,08,2.44,27.11,85.2
2020-08-09,2020,08,09,2.13,27.24,83.89
2020-08-10,2020,08,10,0.47,27.3,84.62
2020-08-11,2020,08,11,2.76,27.26,85.12
2020-08-12,2020,08,12,1.11,27.6,84.43
2020-08-13,2020,08,13,22.47,26.82,88.96
2020-08-14,2020,08,14,2.64,27.3,83.92
2020-08-15,2020,08,15,0.62,26.99,85.35
2020-08-16,2020,08,16,2.63,26.97,85.64
2020-08-17,2020,08,17,2.77,27.13,83.93
2020-08-18,2020,08,18,2.98,26.97,85.04
2020-08-19,2020,08,19,0.42,27.1,83.98
2020-08-20,2020,08,20,0.15,27.24,82.63
2020-08-21,2020,08,21,0.04,27.21,82.03
2020-08-22,2020,08,22,0.06,26.98,81.65
2020-08-23,2020,08,23,0.13,27.47,82.24
2020-08-24,2020,08,24,0.03,27.5,81.98
2020-08-25,2020,08,25,0.0,27.14,77.19
2020-08-26,2020,08,26,0.0,27.2,77.98
